Creating test database for alias 'default'...
Destroying test database for alias 'default'...
         10024283 function calls (9818849 primitive calls) in 10.741 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1534/1186    0.004    0.000    0.115    0.000 base.py:586(_save_parents)
      212    0.001    0.000    0.114    0.001 manager.py:156(create)
    20606    0.056    0.000    0.112    0.000 __init__.py:259(db_type)
      221    0.001    0.000    0.111    0.001 models.py:1364(is_raw)
     43/2    0.000    0.000    0.110    0.055 deletion.py:15(CASCADE)
    19743    0.047    0.000    0.110    0.000 __init__.py:128(_cursor)
        6    0.003    0.000    0.107    0.018 __init__.py:3(<module>)
    16783    0.079    0.000    0.104    0.000 compiler.py:505(get_from_clause)
    27230    0.036    0.000    0.104    0.000 utils.py:104(inner)
        1    0.000    0.000    0.104    0.104 tests.py:26(setUp)
    20491    0.022    0.000    0.103    0.000 itercompat.py:22(is_iterator)
        2    0.000    0.000    0.103    0.051 models.py:189(create_user)
        2    0.000    0.000    0.103    0.051 models.py:172(_create_user)
        2    0.000    0.000    0.102    0.051 models.py:234(set_password)
        2    0.000    0.000    0.102    0.051 hashers.py:67(make_password)
        2    0.000    0.000    0.102    0.051 hashers.py:233(encode)
        2    0.000    0.000    0.102    0.051 crypto.py:119(pbkdf2)
        2    0.000    0.000    0.102    0.051 crypto.py:154(F)
        2    0.006    0.003    0.102    0.051 {_functools.reduce}
    19476    0.015    0.000    0.101    0.000 where.py:350(prepare)
97046/84388    0.053    0.000    0.100    0.000 {setattr}
    22733    0.043    0.000    0.099    0.000 related.py:1052(get_path_info)
      772    0.004    0.000    0.099    0.000 compiler.py:893(execute_sql)
   105388    0.063    0.000    0.099    0.000 tree.py:29(_new_instance)
    24002    0.035    0.000    0.096    0.000 crypto.py:155(U)
       51    0.003    0.000    0.094    0.002 __init__.py:1(<module>)
    89284    0.055    0.000    0.092    0.000 utils.py:192(__getitem__)
32926/32922    0.021    0.000    0.091    0.000 __init__.py:52(__getattr__)
   217032    0.091    0.000    0.091    0.000 tree.py:18(__init__)
      167    0.001    0.000    0.091    0.001 models.py:1677(is_raw)
    16783    0.051    0.000    0.091    0.000 compiler.py:329(get_ordering)
    20354    0.057    0.000    0.089    0.000 __init__.py:381(get_db_prep_lookup)
  165/145    0.000    0.000    0.088    0.001 models.py:429(get_effective_datetimeformat)
    19476    0.061    0.000    0.086    0.000 __init__.py:352(get_prep_lookup)
      102    0.001    0.000    0.084    0.001 models.py:31(get_for_model)
    51366    0.055    0.000    0.084    0.000 related.py:990(foreign_related_fields)
       16    0.000    0.000    0.083    0.005 models.py:228(create_input)
      104    0.000    0.000    0.083    0.001 models.py:65(stop)
    53022    0.049    0.000    0.082    0.000 copy.py:66(copy)
      102    0.001    0.000    0.082    0.001 manager.py:153(get_or_create)
      177    0.001    0.000    0.081    0.000 manager.py:135(count)
        1    0.000    0.000    0.081    0.081 flush.py:91(emit_post_syncdb)
      169    0.001    0.000    0.080    0.000 models.py:296(get_cdt)
      102    0.002    0.000    0.079    0.001 query.py:360(get_or_create)
    16575    0.052    0.000    0.078    0.000 options.py:347(get_field)
    51357    0.050    0.000    0.077    0.000 six.py:437(iteritems)
108518/108422    0.063    0.000    0.073    0.000 {method 'join' of 'str' objects}
    28725    0.055    0.000    0.073    0.000 util.py:24(__getattr__)
       18    0.000    0.000    0.073    0.004 models.py:559(__str__)
      292    0.001    0.000    0.072    0.000 models.py:97(has_data)
      435    0.002    0.000    0.072    0.000 models.py:717(general_transf)
    19416    0.050    0.000    0.071    0.000 aggregates.py:6(refs_aggregate)
    20698    0.040    0.000    0.068    0.000 abc.py:128(__instancecheck__)
        4    0.000    0.000    0.068    0.017 __init__.py:69(load_command_class)
    16703    0.041    0.000    0.068    0.000 query.py:703(reset_refcounts)
  165/145    0.001    0.000    0.067    0.000 models.py:413(get_all_regexps)
      143    0.000    0.000    0.067    0.000 models.py:65(__str__)
     6392    0.006    0.000    0.067    0.000 __init__.py:1552(getLogger)
        1    0.000    0.000    0.066    0.066 test.py:1(<module>)
        4    0.000    0.000    0.064    0.016 __init__.py:78(get_commands)
        7    0.003    0.000    0.064    0.009 models.py:6(<module>)
      212    0.001    0.000    0.063    0.000 query.py:312(create)
        1    0.000    0.000    0.063    0.063 __init__.py:31(_setup)
        1    0.001    0.001    0.062    0.062 __init__.py:57(_configure_logging)
     6391    0.014    0.000    0.061    0.000 __init__.py:1010(getLogger)
       59    0.000    0.000    0.061    0.001 base.py:747(validate_unique)
       59    0.001    0.000    0.060    0.001 base.py:815(_perform_unique_checks)
   118637    0.039    0.000    0.060    0.000 related.py:976(related_fields)
        1    0.000    0.000    0.060    0.060 log.py:1(<module>)
    10886    0.050    0.000    0.060    0.000 related.py:1075(get_normalized_value)
     7353    0.008    0.000    0.060    0.000 related.py:390(__get__)
   208987    0.058    0.000    0.058    0.000 {built-in method __new__ of type object at 0x91f8e0}
      441    0.001    0.000    0.058    0.000 re.py:226(_compile)
    25199    0.039    0.000    0.058    0.000 {method 'fetchmany' of 'sqlite3.Cursor' objects}
      901    0.003    0.000    0.058    0.000 compiler.py:986(pre_sql_setup)
       10    0.000    0.000    0.058    0.006 models.py:506(check_inputs)
    35196    0.047    0.000    0.057    0.000 query.py:631(table_alias)
      134    0.001    0.000    0.057    0.000 sre_compile.py:493(compile)
      152    0.000    0.000    0.057    0.000 re.py:188(compile)
       18    0.000    0.000    0.055    0.003 models.py:842(is_compatible)
       12    0.000    0.000    0.055    0.005 models.py:629(invoke_code)
      232    0.001    0.000    0.053    0.000 query.py:280(count)
    19743    0.020    0.000    0.053    0.000 base.py:358(create_cursor)
    20606    0.053    0.000    0.053    0.000 datastructures.py:505(__init__)
      232    0.001    0.000    0.052    0.000 query.py:366(get_count)
   362105    0.052    0.000    0.052    0.000 {method 'append' of 'list' objects}
       28    0.001    0.000    0.051    0.002 models.py:166(register_dataset)
     1575    0.005    0.000    0.050    0.000 models.py:297(__init__)
       84    0.000    0.000    0.050    0.001 models.py:101(is_method)
     7353    0.021    0.000    0.050    0.000 related.py:413(__init__)
       77    0.000    0.000    0.050    0.001 manager.py:189(first)
        1    0.000    0.000    0.049    0.049 debug.py:1(<module>)
      159    0.000    0.000    0.048    0.000 query.py:99(__nonzero__)
    14719    0.043    0.000    0.048    0.000 query.py:1726(get_loaded_field_names)
        9    0.000    0.000    0.048    0.005 models.py:1604(clean)
    73960    0.047    0.000    0.047    0.000 dateparse.py:80(<genexpr>)
        8    0.000    0.000    0.047    0.006 models.py:184(create_outputs)
        1    0.000    0.000    0.047    0.047 simple.py:235(build_suite)
        1    0.000    0.000    0.047    0.047 simple.py:166(build_test)
       21    0.000    0.000    0.047    0.002 models.py:1541(create)
       21    0.000    0.000    0.046    0.002 models.py:702(create)
       90    0.000    0.000    0.045    0.001 models.py:729(has_subrun)
      192    0.000    0.000    0.045    0.000 models.py:1555(component)
      772    0.014    0.000    0.044    0.000 compiler.py:838(as_sql)
      159    0.001    0.000    0.044    0.000 manager.py:195(order_by)
      223    0.000    0.000    0.044    0.000 models.py:1667(component)
        8    0.000    0.000    0.044    0.005 models.py:233(create_output)
    22899    0.022    0.000    0.044    0.000 query.py:1858(is_nullable)
     6308    0.026    0.000    0.044    0.000 related.py:328(__set__)
       57    0.000    0.000    0.043    0.001 loading.py:170(get_app)
       42    0.000    0.000    0.043    0.001 execute.py:139(step_xput_path)
      232    0.003    0.000    0.043    0.000 query.py:313(get_aggregation)
       75    0.000    0.000    0.043    0.001 loading.py:90(load_app)
      208    0.000    0.000    0.043    0.000 loading.py:54(_populate)
   297256    0.042    0.000    0.042    0.000 {method 'copy' of 'dict' objects}
       54    0.000    0.000    0.040    0.001 files.py:84(save)
       57    0.001    0.000    0.040    0.001 base.py:952(clean_fields)
    23490    0.030    0.000    0.040    0.000 related.py:1017(get_joining_columns)
      156    0.000    0.000    0.040    0.000 encoding.py:60(<lambda>)
   112651    0.040    0.000    0.040    0.000 {method 'update' of 'dict' objects}
       35    0.000    0.000    0.040    0.001 models.py:1604(keeps_output)
   110037    0.033    0.000    0.040    0.000 query.py:1789(_extra_select)
      270    0.001    0.000    0.039    0.000 __init__.py:248(clean)
        1    0.000    0.000    0.038    0.038 tests_rm.py:216(make_words_symDS)
    11941    0.015    0.000    0.038    0.000 {method 'decode' of 'str' objects}
       18    0.000    0.000    0.038    0.002 models.py:326(add_structure)
      110    0.001    0.000    0.037    0.000 related.py:1192(validate)
    86242    0.037    0.000    0.037    0.000 {method 'startswith' of 'str' objects}
      149    0.001    0.000    0.037    0.000 deletion.py:207(related_objects)
       81    0.000    0.000    0.036    0.000 models.py:820(is_incable)
   183642    0.036    0.000    0.036    0.000 {method 'get' of 'dict' objects}
        2    0.001    0.000    0.034    0.017 client.py:1(<module>)
        3    0.000    0.000    0.034    0.011 tests_rm.py:138(simple_method_io)
        1    0.000    0.000    0.034    0.034 loaddata.py:42(handle)
        1    0.000    0.000    0.034    0.034 loaddata.py:64(loaddata)
      812    0.001    0.000    0.034    0.000 __init__.py:1130(debug)
     1164    0.004    0.000    0.034    0.000 models.py:1894(__init__)
1275/1260    0.005    0.000    0.034    0.000 related.py:1267(db_type)
    19743    0.033    0.000    0.033    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
     1205    0.003    0.000    0.033    0.000 compiler.py:424(find_ordering_name)
     1786    0.009    0.000    0.033    0.000 query.py:1644(add_extra)
     1958    0.003    0.000    0.033    0.000 transaction.py:230(__enter__)
        3    0.000    0.000    0.032    0.011 base.py:301(validate)
     8215    0.017    0.000    0.032    0.000 manager.py:62(__init__)
    64/59    0.003    0.000    0.032    0.001 base.py:58(__new__)
        3    0.008    0.003    0.032    0.011 validation.py:22(get_validation_errors)
        2    0.001    0.000    0.032    0.016 forms.py:1(<module>)
    14719    0.028    0.000    0.031    0.000 options.py:301(get_concrete_fields_with_model)
        1    0.000    0.000    0.031    0.031 exceptions.py:3(<module>)
      373    0.001    0.000    0.031    0.000 __init__.py:1252(_log)
        1    0.020    0.020    0.031    0.031 encoding.py:1(<module>)
     1958    0.004    0.000    0.031    0.000 transaction.py:283(__exit__)
        4    0.010    0.003    0.031    0.008 utils.py:1(<module>)
        1    0.001    0.001    0.031    0.031 testcases.py:1(<module>)
   216564    0.030    0.000    0.030    0.000 {method 'extend' of 'list' objects}
        6    0.002    0.000    0.030    0.005 base.py:1(<module>)
        1    0.000    0.000    0.029    0.029 tests_rm.py:155(new_datatype)
        1    0.000    0.000    0.028    0.028 loaddata.py:115(load_label)
  135/134    0.000    0.000    0.028    0.000 sre_parse.py:675(parse)
        1    0.001    0.001    0.028    0.028 __init__.py:50(<module>)
       25    0.000    0.000    0.028    0.001 models.py:1280(non_raw_clean)
       57    0.000    0.000    0.028    0.000 models.py:601(outputs)
    10593    0.028    0.000    0.028    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      797    0.004    0.000    0.027    0.000 related.py:812(__get__)
  443/135    0.002    0.000    0.027    0.000 sre_parse.py:301(_parse_sub)
      134    0.000    0.000    0.027    0.000 sre_compile.py:478(_code)
       27    0.000    0.000    0.027    0.001 models.py:1228(_check_header)
        1    0.000    0.000    0.027    0.027 models.py:729(complete_clean)
       30    0.000    0.000    0.027    0.001 models.py:216(create_empty)
  625/157    0.010    0.000    0.027    0.000 sre_parse.py:379(_parse)
       13    0.000    0.000    0.026    0.002 models.py:445(check_integrity)
       37    0.000    0.000    0.026    0.001 models.py:285(__str__)
    34452    0.019    0.000    0.026    0.000 options.py:357(get_field_by_name)
       25    0.000    0.000    0.026    0.001 models.py:371(link_execrecord)
       13    0.000    0.000    0.026    0.002 models.py:966(run_cable)
        1    0.000    0.000    0.026    0.026 models.py:690(clean)
    66774    0.021    0.000    0.026    0.000 query.py:1771(_aggregate_select)
    16614    0.016    0.000    0.025    0.000 options.py:317(_many_to_many)
       35    0.001    0.000    0.025    0.001 deletion.py:240(delete)
    20997    0.021    0.000    0.025    0.000 __init__.py:474(validate_thread_sharing)
       10    0.000    0.000    0.025    0.002 models.py:1713(create_output)
      416    0.000    0.000    0.025    0.000 __init__.py:129(activate)
    16858    0.018    0.000    0.025    0.000 six.py:433(itervalues)
      416    0.000    0.000    0.025    0.000 trans_real.py:182(activate)
     6419    0.006    0.000    0.024    0.000 __init__.py:210(_acquireLock)
      416    0.000    0.000    0.024    0.000 trans_real.py:101(translation)
       20    0.000    0.000    0.024    0.001 base.py:160(save)
    48000    0.024    0.000    0.024    0.000 {method 'digest' of '_hashlib.HASH' objects}
        2    0.000    0.000    0.024    0.012 trans_real.py:120(_fetch)
   150269    0.024    0.000    0.024    0.000 {iter}
    46659    0.017    0.000    0.023    0.000 datastructures.py:161(__iter__)
       12    0.000    0.000    0.023    0.002 execute.py:196(update_step_maps)
       42    0.000    0.000    0.023    0.001 models.py:1117(has_custom_constraint)
     6137    0.004    0.000    0.023    0.000 __init__.py:345(get_db_prep_save)
      876    0.003    0.000    0.023    0.000 models.py:61(__init__)
       90    0.000    0.000    0.023    0.000 models.py:310(component)
     1205    0.004    0.000    0.023    0.000 compiler.py:454(_setup_joins)
        3    0.000    0.000    0.023    0.008 models.py:217(create_outcable)
      694    0.001    0.000    0.023    0.000 models.py:354(is_cable)
    12007    0.008    0.000    0.023    0.000 utf_8.py:15(decode)
    41227    0.023    0.000    0.023    0.000 _weakrefset.py:70(__contains__)
     1506    0.017    0.000    0.022    0.000 __init__.py:94(__init__)
 1230/134    0.006    0.000    0.022    0.000 sre_compile.py:32(_compile)
       10    0.000    0.000    0.022    0.002 models.py:1649(create)
    19939    0.011    0.000    0.022    0.000 __init__.py:385(set_dirty)
        6    0.000    0.000    0.022    0.004 models.py:1448(clean)
      373    0.000    0.000    0.022    0.000 __init__.py:1273(handle)
      536    0.003    0.000    0.022    0.000 __init__.py:211(savepoint)
    24000    0.017    0.000    0.022    0.000 crypto.py:102(_bin_to_long)
        1    0.000    0.000    0.022    0.022 test.py:52(create_parser)
        5    0.000    0.000    0.021    0.004 models.py:1172(clean)
      373    0.001    0.000    0.021    0.000 __init__.py:1305(callHandlers)
        2    0.000    0.000    0.021    0.011 utils.py:156(get_runner)
    94265    0.021    0.000    0.021    0.000 query.py:205(get_meta)
        1    0.006    0.006    0.021    0.021 hotrunner.py:1(<module>)
    57059    0.021    0.000    0.021    0.000 {method 'startswith' of 'unicode' objects}
        1    0.000    0.000    0.021    0.021 flush.py:1(<module>)
       18    0.000    0.000    0.021    0.001 models.py:785(__str__)
       27    0.000    0.000    0.020    0.001 models.py:120(create_structure)
       18    0.000    0.000    0.020    0.001 models.py:928(__str__)
      373    0.001    0.000    0.020    0.000 __init__.py:736(handle)
       28    0.000    0.000    0.020    0.001 models.py:1898(create)
     7165    0.015    0.000    0.020    0.000 threading.py:146(acquire)
    18569    0.020    0.000    0.020    0.000 compiler.py:20(__init__)
